Merchant Name,Category Name,% Rate,Flat Rate
BA and SH,Clothing & Apparel,10.0,0.0
BANDELETTES,Underwear & Socks,16.0,0.0
BANDICAM,Software,15.0,0.0
BASSO,Clothing & Apparel,10.0,0.0
BBQ-AID: Tools Built To Last,Household,10.0,0.0
BBQGuys,Kitchen & Dining,0.8,0.0
BDraddy,Clothing & Apparel,15.0,0.0
BEAUPAN,Beauty & Cosmetics,12.0,0.0
BESTQOOL,Health & Beauty,12.0,0.0
BESTVA,Lighting,6.0,0.0
BESTtrafficschool.com,Education,35.0,0.0
BIBA Los Angeles,Beauty & Cosmetics,15.0,0.0
BIG MAX Golf,Golf,0.5,0.0
BINGE Movies & TV,Movies,0.0,8.0
BKWAT,Smart Watches,30.0,0.0
BLACKTIE,Clothing & Apparel,10.0,0.0
BLASS,Beauty & Cosmetics,50.0,0.0
BLNQ EYEWEAR,Sunglasses,10.0,0.0
BMI Doctors,Health Care,7.0,0.0
BODY by Julia Haart,Underwear & Socks,15.0,0.0
BOMME SPORT,Clothing & Apparel,20.0,0.0
BOSS Audio,Audio,4.0,0.0
BREDA,Watches,7.0,0.0
BREO,Health & Beauty,15.0,0.0
BRL Sports,Vitamins & Supplements,30.0,0.0
BRUH. Skincare,Health & Beauty,15.0,0.0
BRUNT Workwear,Clothing & Apparel,3.0,0.0
BTArtboxnails,Health & Beauty,10.0,0.0
BUBS Naturals,Vitamins & Supplements,10.0,0.0
BUKVY BAG,Handbags & Wallets,10.0,0.0
BUSINESSROCKET.COM,B2B,0.0,75.0
BUYSHOES.SHOP,Shoes,20.0,0.0
BUZZ Bikes,Cycling,4.0,0.0
BaByliss PRO,Health & Beauty,4.0,0.0
Babbel,Online Courses,12.0,18.2
Babs Boutique NYC,Women,15.0,0.0
Baby Aspen,Babies & Kids,7.0,0.0
Baby Brezza,Babies & Kids,5.0,0.0
Baby Exo,Babies & Kids,15.0,0.0
Baby Foot,Health & Beauty,15.0,0.0
Baby Gold,Jewelry,8.0,0.0
Baby Joi,Baby & Kids,4.0,0.0
Baby Lock,Arts & Crafts,5.0,3.3264
Baby Steps and Mish Kids (US),Baby & Kids,2.0,0.0
Baby Tula,Babies & Kids,4.0,0.0
BabyBjörn,Babies & Kids,12.0,0.0
BabyBuddha,Nursing & Feeding,0.1,0.0
Babyark,"Car Seats, Carriers & Strollers",5.0,0.0
Babyfirst,Babies & Kids,3.0,0.0
Babysprouts,Babies & Kids,15.0,0.0
Back Support Systems INC,Health Care,20.0,0.0
Backcountry.com,Clothing & Apparel,8.0,0.0
Backstage Merch,Clothing & Apparel,2.0,0.0
Bad Ass Extension Cords,Hardware,5.0,0.0
Bad Birdie Golf,Golf,6.0,0.0
