Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
Academy for Health and Fitness,Online Courses,14,30.0,0.0
Kids Foot Locker,Shoes,13,4.0,0.0
KissLove Hair,Beauty & Cosmetics,13,10.0,0.0
FOSSiBOT,Consumer Electronics,13,10.0,0.2
Milk Bar,Desserts,13,6.5,0.0
BoxLunch,Gifts,13,1.0,0.0
Ann Taylor,Clothing & Apparel,13,1.0,0.0
Chesapeake Bay,Food & Gourmet,13,4.0,0.0
New Balance,Clothing & Apparel,13,7.7,0.0
Disney Store,Clothing & Apparel,13,10.0,0.0
PUMA,Athletics,13,6.0,0.0
Sur La Table,Kitchen & Dining,13,4.0,0.0
OSEA Malibu,Health & Beauty,13,16.0,0.0
US Chess Sales,Board Games,13,3.0,0.0
Vanimy,Jewelry,13,15.0,0.0
VTOMAN,Batteries,13,14.0,0.0
Eonon,Vehicles & Parts,13,3.0,0.0
campark,Camera & Optics,13,15.0,0.0
Nutree Cosmetics,Health & Beauty,13,11.0,0.0
Hostinger,Web Hosting & Domains,13,60.0,0.0
SOL,Yoga & Pilates,13,3.0,0.0
Fenty Beauty,Beauty & Cosmetics,13,8.0,0.0
tarte cosmetics,Beauty & Cosmetics,13,8.0,0.0
Engine DIY,Hobbies & Creative Arts,13,5.0,0.0
Tap Score,Supplies,13,10.0,0.0
Outerknown,Clothing & Apparel,13,12.0,0.0
BestOfSigns,B2B,13,12.0,0.0
BestRealDoll,Erotic,13,10.0,0.0
BRoadout,Sporting Goods,13,15.0,0.0
DYU,Sporting Goods,13,10.0,0.0
Angara,Jewelry,12,9.0,0.0
Neakasa,Animals & Pet Supplies,12,10.0,0.0
Reibii,Household,12,8.0,0.0
Xtrema Cookware,Kitchen & Dining,12,5.0,0.0
Mytrip.com,Travel,12,3.0,5.0
FashionGo,Clothing & Apparel,12,0.0,40.0
HopeGoo,Vacation Packages,12,4.0,0.0
Aeropostale,Juniors,12,4.0,0.024
Cosplaysky,Costumes,12,10.0,0.0
bluemercury,Beauty & Cosmetics,12,6.4,0.0
Clinique,Health & Beauty,12,15.0,0.0
Corsair.com,Computers & Accessories,12,2.4,0.0
HEYDUDE,Shoes,12,4.0,0.0
Lids,Hats,12,8.0,0.0
Logitech,Computers & Accessories,12,4.0,0.0
Spelab,Motor Vehicle Parts,12,10.0,0.0
Master of Project Academy,Online Courses,12,15.0,0.0
Barrywang,Clothing & Apparel,12,25.0,0.0
Ciciful,Clothing & Apparel,12,6.0,0.0
Retro Life Player,Music,12,15.0,0.0
GoGameGeek,Video Games,12,5.0,0.0
Ursime,Clothing & Apparel,12,2.0,0.0
Allbirds,Shoes,12,4.0,0.0
Logitech G,Consumer Electronics,12,4.0,0.0
Cub Cadet,Yard & Garden,12,4.0,0.0
Ecco Bella,Health & Beauty,12,20.0,0.0
Charles Tyrwhitt,Clothing & Apparel,12,12.0,0.0
Spafinder.com,Beauty & Spas,12,6.0,0.0
MAC Cosmetics,Beauty & Cosmetics,12,15.0,0.0
RELX,e-Cigarettes & Vaporizers,12,10.0,0.0
Giant Food,Food & Gourmet,12,0.0,10.0
xTool,Household,12,10.0,0.0
Tire Agent,Motor Vehicle Parts,12,4.0,0.0
Vesync,Appliances,12,10.0,0.0
Harfington,Tools,12,7.0,0.0
Hiboost,Consumer Electronics,12,10.0,0.0
CrealityFalcon,3D Printers,12,12.0,0.0
Ridstar,Outdoor Recreation,11,6.0,0.0
Fox Rent A Car,Car Rental,11,4.0,0.0
Bealls Florida,Department Stores,11,5.0,0.0
Flametree Yoga Studio,Yoga & Pilates,11,51.0,0.0
StarknightMT,Vehicles & Parts,11,15.0,0.0
EcoWise,Vitamins & Supplements,11,25.0,0.0
Hykoont,Lighting,11,12.0,0.0
Direct Running,Shoes,11,5.0,0.0
tonies,Toys,11,4.0,0.0
HSN,Department Stores,11,3.0,0.0
Raw Paws Pet Food,Animals & Pet Supplies,11,20.0,0.0
Magazines.com,Books & Magazines,11,10.0,0.0
Chicago Steak Company,Food & Gourmet,11,8.0,0.0
PacSun,Clothing & Apparel,11,3.0,0.0
AmorePacific,Health & Beauty,11,10.0,0.0
Avid Hemp,CBD,11,32.0,0.0
Clatterans,Supplies,11,10.0,0.0
KitchenAid,Kitchen & Dining,11,7.0,0.0
Rent The Runway,Clothing & Apparel,11,7.0,0.0
Diamond CBD,CBD,11,75.0,0.0
AirAsia,Travel,11,5.0,0.45
Lolly Hair,Hair Accessories,11,7.0,0.0
mpix,Photo Gifts,11,5.0,0.0
Giraffe Tools,Yard & Garden,11,13.0,0.0
BoxNCase,Food & Gourmet,11,5.0,0.0
Flashark,Vehicles & Parts,11,10.0,0.0
Title Nine,Women,11,10.0,0.0
Stellar,Software,11,10.0,0.0
Replacements,Kitchen & Dining,11,4.0,0.0
AffordableBlinds.com,Household,11,7.5,0.0
FANCI.ME,Jewelry,11,10.0,0.0
