Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
bluemercury,Beauty & Cosmetics,US,12,6.40%,
Clinique,Health & Beauty,US,12,15.00%,
Corsair.com,Computers & Accessories,US,12,2.40%,
HEYDUDE,Shoes,US,12,4.00%,
Lids,Hats,US,12,8.00%,
Logitech,Computers & Accessories,US,12,4.00%,
Cosplaysky,Costumes,US,12,10.00%,
Master of Project Academy,Online Courses,US,12,15.00%,
Title Nine,Women,US,11,10.00%,
Stellar,Software,US,11,10.00%,
Replacements,Kitchen & Dining,US,11,4.00%,0
AffordableBlinds.com,Household,US,11,7.50%,
Shu Uemura,Beauty & Cosmetics,US,11,15.00%,
FANCI.ME,Jewelry,US,11,10.00%,
Minimal Bottle,Household,US,11,8.00%,
Simon Miller,Clothing & Apparel,US,11,10.00%,
Hotel Collection,Home Decor,US,11,17.00%,25
BoxNCase,Food & Gourmet,US,11,5.00%,
mpix,Photo Gifts,US,11,5.00%,
Nortiv8,Shoes,US,11,10.00%,
Gundry MD,Vitamins & Supplements,US,11,8.00%,
OBSBOT,Camera & Optics,US,11,10.00%,
TruSkin,Health & Beauty,US,11,18.00%,
Norton,Software,US,11,140.00%,30
COS,Clothing & Apparel,US,11,16.00%,
PartsVu,Motor Vehicle Parts,US,11,5.00%,
FYTOO,Contacts & Glasses,US,11,8.00%,
INIU,Electronics Accessories,US,11,12.00%,
FamilyTreeDNA,Consumer Services,US,11,4.00%,
Flashark,Vehicles & Parts,US,11,10.00%,
Giraffe Tools,Yard & Garden,US,11,13.00%,
AirAsia,Travel,US,11,5.00%,0.45
Lolly Hair,Hair Accessories,US,11,7.00%,
tonies,Toys,US,11,4.00%,
Direct Running,Shoes,US,11,5.00%,
StarknightMT,Vehicles & Parts,US,11,15.00%,
Hykoont,Lighting,US,11,12.00%,
EcoWise,Vitamins & Supplements,US,11,25.00%,
Ridstar,Outdoor Recreation,US,11,6.00%,
Flametree Yoga Studio,Yoga & Pilates,US,11,51.00%,
Bealls Florida,Department Stores,US,11,5.00%,
Fox Rent A Car,Car Rental,US,11,4.00%,
HSN,Department Stores,US,11,3.00%,
Magazines.com,Books & Magazines,US,11,10.00%,
Chicago Steak Company,Food & Gourmet,US,11,8.00%,
PacSun,Clothing & Apparel,US,11,3.00%,
AmorePacific,Health & Beauty,US,11,10.00%,
Avid Hemp,CBD,US,11,32.00%,
Clatterans,Supplies,US,11,10.00%,
KitchenAid,Kitchen & Dining,US,11,7.00%,
Raw Paws Pet Food,Animals & Pet Supplies,US,11,20.00%,
Rent The Runway,Clothing & Apparel,US,11,7.00%,
Diamond CBD,CBD,US,11,75.00%,
Forsake,Clothing & Apparel,US,10,10.00%,
Carex Health Brands,Health & Beauty,US,10,10.00%,
Fanatical,Video Games,US,10,6.00%,
Best Bully Sticks,Animals & Pet Supplies,US,10,6.00%,
AlloyWorks Store,Vehicles & Parts,US,10,6.00%,
Yay Images,Software,US,10,40.00%,
Shapellx,Underwear & Socks,US,10,5.00%,
Priceline,Travel,US,10,6.00%,4
DefenAge Skincare,Health & Beauty,US,10,1.00%,
TTLife Oxygen Concentrator,Health Care,US,10,12.00%,
Cefaly,Health Care,US,10,4.00%,90
Brightchamps,Consumer Services,US,10,20.00%,
Meta,Consumer Electronics,US,10,6.00%,0
The Gift Basket Store,Gift Baskets,US,10,9.00%,
Deluxe,B2B,US,10,7.00%,0
iEDM,Clothing & Apparel,US,10,10.00%,
Total Wine,Wine,US,10,2.00%,
Gardyn,Lawn & Garden,US,10,8.00%,
Mullybox,Box Subscriptions,US,10,10.00%,20
FitVille,Shoes,US,10,10.00%,
Shelia,Clothing & Apparel,US,10,8.00%,
Consumer Cellular,Telephony,US,10,,100
Etickets,Event Tickets,US,10,2.00%,
Handball-Store,Sporting Goods,US,10,5.00%,
Crunchyroll,Collectibles,US,10,8.00%,
Comfelie,Clothing & Apparel,US,10,15.00%,
la Vie en Rose,Clothing & Apparel,US,10,7.00%,
YANIBEST,Hair Accessories,US,10,15.00%,
Els Pet,Animals & Pet Supplies,US,10,8.00%,
Simple Projects,Bed & Bath,US,10,10.00%,
Avery,B2B,US,10,10.00%,
CPO Outlets,Tools,US,10,4.00%,
Sennheiser,Audio,US,10,10.00%,
Farfetch,Clothing & Apparel,US,10,4.00%,
Gallery Collection,B2B,US,10,4.00%,
Gifts For You Now,Photo Gifts,US,10,8.00%,
Gourmet Gift Baskets,Gifts,US,10,15.00%,
Lillian Vernon,Gifts,US,10,8.00%,
Movies Unlimited,Movies,US,10,14.00%,
My Evergreen,Household,US,10,7.00%,
Newegg,Computers & Accessories,US,10,3.00%,
SeatGeek,Event Tickets,US,10,1.00%,
Shiseido,Health & Beauty,US,10,10.00%,
UGG,Shoes,US,10,10.00%,
Vimeo,Software,US,10,10.00%,
Vitamin Shoppe,Vitamins & Supplements,US,10,1.00%,
J.Crew Factory,Clothing & Apparel,US,10,3.00%,0
Food Huggers,Kitchen & Dining,US,10,15.00%,
Soko Glam,Health & Beauty,US,10,4.00%,
Vita Living,Vitamins & Supplements,US,10,12.00%,
Preply,Online Courses,US,10,79.20%,17.5
Lumens,Household,US,10,6.00%,
Zoro,Tools,US,10,6.00%,
